sequence_id,frame_id,frame_index,frame_offset,target_path,target_h,target_w,dataset,specimen,session,clip,anchor_type,quality,convention,split
specimen_2__2025_04_10-16_08_53__Clip_5__start,1744294204_338754653,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_08_53__Clip_5__start.npz,178,224,d4d,specimen_2,2025_04_10-16_08_53,Clip_5,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_24_24__Clip_1__start,1746707079_607564926,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_24_24__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_24_24,Clip_1,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_36_19__Clip_1__start,1741278986_751394987,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_1__end,1741278996_409678220,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_1,end,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_2__start,1741278996_409678220,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_2,start,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_2__end,1741279006_770105361,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_2,end,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_3__start,1741279006_770105361,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_3,start,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_3__end,1741279020_417998790,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_3,end,valid,,valid
specimen_1__2025_03_06-17_36_19__Clip_4__start,1741279020_417998790,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_36_19__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_36_19,Clip_4,start,valid,,valid
specimen_3__2025_05_08-14_36_52__Clip_1__start,1746707818_207958698,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_36_52__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_36_52,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_38_08__Clip_1__start,1746707894_239512681,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_38_08__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_38_08,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_33_16__Clip_1__start,1746707602_408067703,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_33_16__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_33_16,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_33_16__Clip_1__end,1746707628_974280118,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_33_16__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_33_16,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_1__start,1744294760_606107473,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_1__start.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_1__end,1744294778_271383523,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_2__start,1744294778_271383523,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_2__start.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_2,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_2__end,1744294793_739244699,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_2__end.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_2,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_3__start,1744294793_739244699,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_3__start.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_3,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_3__end,1744294808_039081096,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_3__end.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_3,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_4__start,1744294808_039081096,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_4__start.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_4,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_4__end,1744294819_472425222,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_4__end.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_4,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_5__start,1744294819_472425222,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_5__start.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_5,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_19_14__Clip_5__end,1744294833_172259569,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_19_14__Clip_5__end.npz,178,224,d4d,specimen_2,2025_04_10-16_19_14,Clip_5,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_49_00__Clip_1__start,1746708547_674401521,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_49_00__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_49_00,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_49_00__Clip_1__end,1746708572_640835762,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_49_00__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_49_00,Clip_1,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_52_45__Clip_1__start,1746708771_572831630,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_52_45__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_52_45,Clip_1,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_1__end,1744295654_972905158,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_1__end.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_1,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_2__start,1744295654_972905158,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_2__start.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_2,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_2__end,1744295670_139412641,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_2__end.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_2,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_3__start,1744295670_139412641,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_3__start.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_3,start,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_3__end,1744295685_039219856,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_3__end.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_3,end,valid,direct_ps,valid
specimen_2__2025_04_10-16_33_49__Clip_4__start,1744295685_039219856,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_2__2025_04_10-16_33_49__Clip_4__start.npz,178,224,d4d,specimen_2,2025_04_10-16_33_49,Clip_4,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_27_51__Clip_1__start,1746707276_907970428,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_1,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_1__end,1746707293_306623220,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_1,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_2__start,1746707293_306623220,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_2__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_2,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_2__end,1746707310_007738113,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_2__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_2,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_3__start,1746707310_007738113,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_3__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_3,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_3__end,1746707324_174072980,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_3__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_3,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_4__start,1746707324_174072980,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_4__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_4,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_4__end,1746707335_507338523,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_4__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_4,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_5__start,1746707335_507338523,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_5__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_5,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_5__end,1746707350_574324131,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_5__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_5,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_6__start,1746707350_574324131,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_6__start.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_6,start,valid,direct_polaris,valid
specimen_3__2025_05_08-14_27_51__Clip_6__end,1746707366_407700300,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_27_51__Clip_6__end.npz,178,224,d4d,specimen_3,2025_05_08-14_27_51,Clip_6,end,valid,direct_polaris,valid
specimen_3__2025_05_08-14_34_16__Clip_1__start,1746707662_208505630,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_1__end,1746707686_174271583,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_1,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_2__start,1746707686_174271583,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_2__start.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_2,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_2__end,1746707699_807956218,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_2__end.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_2,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_3__start,1746707699_807956218,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_3__start.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_3,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_3__end,1746707711_741147756,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_3__end.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_3,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_4__start,1746707711_741147756,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_4__start.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_4,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_4__end,1746707727_174034118,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_4__end.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_4,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_5__start,1746707727_174034118,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_5__start.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_5,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_34_16__Clip_5__end,1746707740_506348848,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_34_16__Clip_5__end.npz,178,224,d4d,specimen_3,2025_05_08-14_34_16,Clip_5,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_1__start,1746707996_207382202,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_1__end,1746708013_540880203,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_1,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_2__start,1746708013_540880203,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_2__start.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_2,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_2__end,1746708028_073565483,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_2__end.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_2,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_3__start,1746708028_073565483,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_3__start.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_3,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_3__end,1746708041_806072235,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_3__end.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_3,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_4__start,1746708041_806072235,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_4__start.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_4,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_4__end,1746708059_806899309,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_4__end.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_4,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_5__start,1746708059_806899309,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_5__start.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_5,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_39_50__Clip_5__end,1746708075_840823411,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_39_50__Clip_5__end.npz,178,224,d4d,specimen_3,2025_05_08-14_39_50,Clip_5,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_1__start,1746708617_239433050,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_1__start.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_1,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_1__end,1746708631_207470893,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_1__end.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_1,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_2__start,1746708631_207470893,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_2__start.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_2,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_2__end,1746708644_406662940,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_2__end.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_2,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_3__start,1746708644_406662940,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_3__start.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_3,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_3__end,1746708658_240703105,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_3__end.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_3,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_50_11__Clip_4__start,1746708658_240703105,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_50_11__Clip_4__start.npz,178,224,d4d,specimen_3,2025_05_08-14_50_11,Clip_4,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_59_26__Clip_2__end,1746709304_905916452,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_59_26__Clip_2__end.npz,178,224,d4d,specimen_3,2025_05_08-14_59_26,Clip_2,end,valid,direct_ps,valid
specimen_3__2025_05_08-14_59_26__Clip_3__start,1746709304_905916452,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_59_26__Clip_3__start.npz,178,224,d4d,specimen_3,2025_05_08-14_59_26,Clip_3,start,valid,direct_ps,valid
specimen_3__2025_05_08-14_59_26__Clip_3__end,1746709328_040919780,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_3__2025_05_08-14_59_26__Clip_3__end.npz,178,224,d4d,specimen_3,2025_05_08-14_59_26,Clip_3,end,valid,direct_ps,valid
